該作物年總產量,該作物年種植株樹,交易量,價格,品種
257558.674,24459685,47.5,41.8,芭蕉紅芭蕉
257558.674,24459685,139.3265306,43.88571429,芭蕉紅芭蕉
257558.674,24459685,134.4936709,50.93587786,芭蕉紅芭蕉
257558.674,24459685,279.6463415,50.2104,芭蕉紅芭蕉
257558.674,24459685,307.1647059,44.91746032,芭蕉紅芭蕉
257558.674,24459685,377.875,33.68402778,芭蕉紅芭蕉
257558.674,24459685,294.8409091,25.51125,芭蕉紅芭蕉
257558.674,24459685,343.6136364,30.27297297,芭蕉紅芭蕉
257558.674,24459685,340.8536585,29.87162162,芭蕉紅芭蕉
257558.674,24459685,274.34,31.94035088,芭蕉紅芭蕉
257558.674,24459685,174.7684211,40.91397059,芭蕉紅芭蕉
257558.674,24459685,139.9318182,54.21257862,芭蕉紅芭蕉
257558.674,24459685,47.5,85.65,旦蕉
257558.674,24459685,139.3265306,83.76326531,旦蕉
257558.674,24459685,134.4936709,90.07848101,旦蕉
257558.674,24459685,279.6463415,74.19518072,旦蕉
257558.674,24459685,307.1647059,66.93010753,旦蕉
257558.674,24459685,377.875,46.63111111,旦蕉
257558.674,24459685,294.8409091,43.31111111,旦蕉
257558.674,24459685,343.6136364,50.74159292,旦蕉
257558.674,24459685,340.8536585,49.23867925,旦蕉
257558.674,24459685,274.34,76.45961538,旦蕉
257558.674,24459685,174.7684211,113.1442105,旦蕉
257558.674,24459685,139.9318182,133.7284091,旦蕉
257558.674,24459685,74.5,47.9,其他
257558.674,24459685,235.0434783,38.28510638,其他
257558.674,24459685,267.3432836,46.66323529,其他
257558.674,24459685,186.8428571,38.68461538,其他
257558.674,24459685,221.5581395,32.86847826,其他
257558.674,24459685,262.1710526,23.21111111,其他
257558.674,24459685,222.3978495,20.12079208,其他
257558.674,24459685,195.65625,23.46708861,其他
257558.674,24459685,211.8243243,22.9025,其他
257558.674,24459685,177.3478261,27.4826087,其他
257558.674,24459685,118.0526316,37.18684211,其他
257558.674,24459685,153.6268657,50.43731343,其他
257558.674,24459685,200,47.88888889,無
257558.674,24459685,255.4210526,47.47377049,無
257558.674,24459685,348.7666667,53.41444444,無
257558.674,24459685,547.2857143,51.03242188,無
257558.674,24459685,427.4705882,37.06654412,無
257558.674,24459685,429.475,28.34435798,無
257558.674,24459685,392.5142857,23.65379061,無
257558.674,24459685,449.1944444,37.18735632,無
257558.674,24459685,305.7391304,39.02645914,無
257558.674,24459685,326.8461538,36.47474048,無
257558.674,24459685,432.1730769,45.1,無
257558.674,24459685,449.8387097,63.40851064,無
